Country Name,Country Code,year,Income_per_capita
Aruba,ABW,2020,20584.79126
Africa Eastern and Southern,AFE,2020,1098.092611
Afghanistan,AFG,2020,475.7180842
Africa Western and Central,AFW,2020,1374.44486
Angola,AGO,2020,1100.217496
Albania,ALB,2020,4322.549675
Andorra,AND,2020,
Arab World,ARB,2020,4727.762086
United Arab Emirates,ARE,2020,33903.43422
Argentina,ARG,2020,7241.030302
Armenia,ARM,2020,3617.03199
American Samoa,ASM,2020,
Antigua and Barbuda,ATG,2020,
Australia,AUS,2020,40036.44582
Austria,AUT,2020,39515.55741
Azerbaijan,AZE,2020,3530.660537
Burundi,BDI,2020,150.0321826
Belgium,BEL,2020,36801.28174
Benin,BEN,2020,1058.144905
Burkina Faso,BFA,2020,683.9393089
Bangladesh,BGD,2020,2305.858345
Bulgaria,BGR,2020,8311.253957
Bahrain,BHR,2020,17252.75045
"Bahamas, The",BHS,2020,21910.30132
Bosnia and Herzegovina,BIH,2020,5099.284971
Belarus,BLR,2020,5200.944075
Belize,BLZ,2020,4225.900436
Bermuda,BMU,2020,
Bolivia,BOL,2020,2652.860747
Brazil,BRA,2020,5367.949034
Barbados,BRB,2020,14376.07645
Brunei Darussalam,BRN,2020,22157.41968
Bhutan,BTN,2020,2724.888887
Botswana,BWA,2020,4911.421975
Central African Republic,CAF,2020,392.5273224
Canada,CAN,2020,34953.03636
Central Europe and the Baltics,CEB,2020,13274.34528
Switzerland,CHE,2020,62971.41617
Channel Islands,CHI,2020,
Chile,CHL,2020,9720.749788
China,CHN,2020,7510.442656
Cote d'Ivoire,CIV,2020,1972.115482
Cameroon,CMR,2020,1285.527495
"Congo, Dem. Rep.",COD,2020,397.0828078
"Congo, Rep.",COG,2020,764.0292039
Colombia,COL,2020,4605.788773
Comoros,COM,2020,1399.473105
Cabo Verde,CPV,2020,2840.364161
Costa Rica,CRI,2020,10980.84397
Caribbean small states,CSS,2020,8283.765791
Cuba,CUB,2020,
Curacao,CUW,2020,
Cayman Islands,CYM,2020,
Cyprus,CYP,2020,22488.41602
Czechia,CZE,2020,16844.23511
Germany,DEU,2020,39043.09715
Djibouti,DJI,2020,2481.423541
Dominica,DMA,2020,6467.869116
Denmark,DNK,2020,52242.03137
Dominican Republic,DOM,2020,6313.756343
Algeria,DZA,2020,2689.872526
East Asia & Pacific (excluding high income),EAP,2020,6050.605923
Early-demographic dividend,EAR,2020,2694.661955
East Asia & Pacific,EAS,2020,8599.572757
Europe & Central Asia (excluding high income),ECA,2020,4671.314552
Europe & Central Asia,ECS,2020,19438.52465
Ecuador,ECU,2020,4317.410628
"Egypt, Arab Rep.",EGY,2020,2964.90284
Euro area,EMU,2020,30623.6473
Eritrea,ERI,2020,
Spain,ESP,2020,22321.68394
Estonia,EST,2020,19133.10065
Ethiopia,ETH,2020,779.4577006
European Union,EUU,2020,27868.02258
Fragile and conflict affected situations,FCS,2020,1419.44221
Finland,FIN,2020,40405.34387
Fiji,FJI,2020,3953.150164
France,FRA,2020,31908.09822
Faroe Islands,FRO,2020,
"Micronesia, Fed. Sts.",FSM,2020,3843.479245
Gabon,GAB,2020,4266.703011
United Kingdom,GBR,2020,
Georgia,GEO,2020,3499.623053
Ghana,GHA,2020,1852.244496
Gibraltar,GIB,2020,
Guinea,GIN,2020,801.1042446
"Gambia, The",GMB,2020,570.1252899
Guinea-Bissau,GNB,2020,611.637566
Equatorial Guinea,GNQ,2020,2243.607987
Greece,GRC,2020,14754.74349
Grenada,GRD,2020,
Greenland,GRL,2020,
Guatemala,GTM,2020,3863.165908
Guam,GUM,2020,
Guyana,GUY,2020,5640.664718
High income,HIC,2020,32778.94721
"Hong Kong SAR, China",HKG,2020,
Honduras,HND,2020,2096.974032
Heavily indebted poor countries (HIPC),HPC,2020,797.5349845
Croatia,HRV,2020,12231.38931
Haiti,HTI,2020,1216.061288
Hungary,HUN,2020,12911.78903
IBRD only,IBD,2020,4729.274323
IDA & IBRD total,IBT,2020,3783.609568
IDA total,IDA,2020,1202.658655
IDA blend,IDB,2020,1453.675504
Indonesia,IDN,2020,2933.533509
IDA only,IDX,2020,1080.175676
Isle of Man,IMN,2020,
India,IND,2020,1637.822519
Not classified,INX,2020,
Ireland,IRL,2020,39973.74021
"Iran, Islamic Rep.",IRN,2020,2072.101242
Iraq,IRQ,2020,3540.936976
Iceland,ISL,2020,48009.3862
Israel,ISR,2020,37501.009
Italy,ITA,2020,26185.78259
Jamaica,JAM,2020,4381.267675
Jordan,JOR,2020,3856.016455
Japan,JPN,2020,31293.416
Kazakhstan,KAZ,2020,6516.654531
Kenya,KEN,2020,1643.944914
Kyrgyz Republic,KGZ,2020,910.1555136
Cambodia,KHM,2020,1331.135318
Kiribati,KIR,2020,2559.717149
St. Kitts and Nevis,KNA,2020,
"Korea, Rep.",KOR,2020,25451.51717
Kuwait,KWT,2020,
Latin America & Caribbean (excluding high income),LAC,2020,5439.368467
Lao PDR,LAO,2020,1928.626685
Lebanon,LBN,2020,4242.29949
Liberia,LBR,2020,328.0628
Libya,LBY,2020,6394.742868
St. Lucia,LCA,2020,6991.914881
Latin America & Caribbean,LCN,2020,5765.752879
Least developed countries: UN classification,LDC,2020,972.6754514
Low income,LIC,2020,548.9726452
Liechtenstein,LIE,2020,
Sri Lanka,LKA,2020,3490.725902
Lower middle income,LMC,2020,1792.489062
Low & middle income,LMY,2020,3538.410394
Lesotho,LSO,2020,927.4727011
Late-demographic dividend,LTE,2020,7227.85129
Lithuania,LTU,2020,17108.31066
Luxembourg,LUX,2020,66535.38955
Latvia,LVA,2020,14147.46127
"Macao SAR, China",MAC,2020,
St. Martin (French part),MAF,2020,
Morocco,MAR,2020,2909.069092
Monaco,MCO,2020,
Moldova,MDA,2020,4098.907695
Madagascar,MDG,2020,383.4859234
Maldives,MDV,2020,6001.337505
Middle East & North Africa,MEA,2020,5484.486133
Mexico,MEX,2020,6535.727186
Marshall Islands,MHL,2020,
Middle income,MIC,2020,3891.464326
North Macedonia,MKD,2020,5325.979386
Mali,MLI,2020,671.7258539
Malta,MLT,2020,
Myanmar,MMR,2020,1313.231506
Middle East & North Africa (excluding high income),MNA,2020,2563.092351
Montenegro,MNE,2020,6828.855865
Mongolia,MNG,2020,2939.559917
Northern Mariana Islands,MNP,2020,
Mozambique,MOZ,2020,345.2501603
Mauritania,MRT,2020,1647.919902
Mauritius,MUS,2020,8094.482298
Malawi,MWI,2020,556.8341617
Malaysia,MYS,2020,7321.928684
North America,NAC,2020,51933.4713
Namibia,NAM,2020,3334.701483
New Caledonia,NCL,2020,
Niger,NER,2020,532.6170935
Nigeria,NGA,2020,1697.976912
Nicaragua,NIC,2020,1628.193706
Netherlands,NLD,2020,41293.75737
Norway,NOR,2020,53949.8025
Nepal,NPL,2020,1084.742579
Nauru,NRU,2020,
New Zealand,NZL,2020,34536.81716
OECD members,OED,2020,31554.79628
Oman,OMN,2020,12038.70864
Other small states,OSS,2020,10097.55435
Pakistan,PAK,2020,1189.742041
Panama,PAN,2020,10890.46942
Peru,PER,2020,5281.024845
Philippines,PHL,2020,3130.213044
Palau,PLW,2020,
Papua New Guinea,PNG,2020,1990.525663
Poland,POL,2020,13333.54328
Pre-demographic dividend,PRE,2020,1084.367935
Puerto Rico,PRI,2020,
"Korea, Dem. People's Rep.",PRK,2020,
Portugal,PRT,2020,17471.06556
Paraguay,PRY,2020,4747.872284
West Bank and Gaza,PSE,2020,
Pacific island small states,PSS,2020,3330.464057
Post-demographic dividend,PST,2020,36739.52973
French Polynesia,PYF,2020,
Qatar,QAT,2020,38207.17645
Romania,ROU,2020,10801.98354
Russian Federation,RUS,2020,8080.555664
Rwanda,RWA,2020,633.3931554
South Asia,SAS,2020,1631.496939
Saudi Arabia,SAU,2020,18838.3821
Sudan,SDN,2020,485.285614
Senegal,SEN,2020,1267.66175
Singapore,SGP,2020,40860.48066
Solomon Islands,SLB,2020,1931.169079
Sierra Leone,SLE,2020,437.7147019
El Salvador,SLV,2020,3208.337881
San Marino,SMR,2020,
Somalia,SOM,2020,332.6728523
Serbia,SRB,2020,6351.269736
Sub-Saharan Africa (excluding high income),SSA,2020,1209.38573
South Sudan,SSD,2020,
Sub-Saharan Africa,SSF,2020,1210.186347
Small states,SST,2020,8914.853052
Sao Tome and Principe,STP,2020,1699.159547
Suriname,SUR,2020,3156.88893
Slovak Republic,SVK,2020,15875.11563
Slovenia,SVN,2020,20345.77611
Sweden,SWE,2020,45322.00707
Eswatini,SWZ,2020,2361.575698
Sint Maarten (Dutch part),SXM,2020,
Seychelles,SYC,2020,10722.81608
Syrian Arab Republic,SYR,2020,479.3055797
Turks and Caicos Islands,TCA,2020,17787.33535
Chad,TCD,2020,440.5267782
East Asia & Pacific (IDA & IBRD countries),TEA,2020,6118.486491
Europe & Central Asia (IDA & IBRD countries),TEC,2020,6867.026096
Togo,TGO,2020,786.0325298
Thailand,THA,2020,5441.477226
Tajikistan,TJK,2020,850.7943696
Turkmenistan,TKM,2020,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,5685.097638
Timor-Leste,TLS,2020,1201.193465
Middle East & North Africa (IDA & IBRD countries),TMN,2020,2564.933322
Tonga,TON,2020,4551.759289
South Asia (IDA & IBRD),TSA,2020,1631.496939
Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,1210.186347
Trinidad and Tobago,TTO,2020,12394.72863
Tunisia,TUN,2020,2982.867852
Turkiye,TUR,2020,7197.801955
Tuvalu,TUV,2020,
Tanzania,TZA,2020,938.8400879
Uganda,UGA,2020,636.5044462
Ukraine,UKR,2020,3279.912598
Upper middle income,UMC,2020,6121.599655
Uruguay,URY,2020,13782.90335
United States,USA,2020,53872.1531
Uzbekistan,UZB,2020,1422.760022
St. Vincent and the Grenadines,VCT,2020,6985.740638
"Venezuela, RB",VEN,2020,
British Virgin Islands,VGB,2020,
Virgin Islands (U.S.),VIR,2020,
Viet Nam,VNM,2020,2898.327793
Vanuatu,VUT,2020,3045.286219
World,WLD,2020,8729.53471
Samoa,WSM,2020,3606.045317
Kosovo,XKX,2020,
"Yemen, Rep.",YEM,2020,
South Africa,ZAF,2020,4522.840013
Zambia,ZMB,2020,693.4253618
Zimbabwe,ZWE,2020,1171.848837